artist,album,release_id,master_id,year,country,released,formats,labels,catalog_numbers,barcodes,genres,styles,discogs_url,tracks
(G)I-DLE,I Sway,32470101,3549515,2024,Worldwide,2024-07-08,"File (AAC, Mini-Album)",Cube Entertainment,none,,Pop,K-pop,https://www.discogs.com/release/32470101,"[{""position"": ""1"", ""title"": ""Klaxon"", ""duration"": ""2:55"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Last Forever"", ""duration"": ""2:25"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Bloom"", ""duration"": ""3:14"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Neverland"", ""duration"": ""2:45"", ""type"": ""track""}]"
(G)I-DLE,I Sway,31288613,3549515,2024,South Korea,2024-07-08,"CD (Mini-Album, Stereo)",Cube Entertainment,L200002993,8804775450235,Pop,K-pop,https://www.discogs.com/release/31288613,"[{""position"": ""1"", ""title"": ""클락션 = Klaxon"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Last Forever"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Bloom"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Neverland"", ""duration"": """", ""type"": ""track""}]"
(G)I-DLE,HEAT,38361054,3361018,2023,South Korea,2023-10-06,CD (EP),Cube Entertainment,L200002726,8804775256639,Pop,K-pop,https://www.discogs.com/release/38361054,"[{""position"": ""1"", ""title"": ""I Do"", ""duration"": ""3:10"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""I Want That"", ""duration"": ""2:51"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Eyes Roll"", ""duration"": ""3:17"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Flip It"", ""duration"": ""2:56"", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Tall Trees"", ""duration"": ""2:45"", ""type"": ""track""}]"
i-dle,We Are,34132492,3877882,2025,US,2025-05-19,CD (Mini-Album),Cube Entertainment,964164632,4099964164633,Electronic; Pop,K-pop; Dance-pop; Ballad,https://www.discogs.com/release/34132492,"[{""position"": ""1"", ""title"": ""Good Thing*"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Girlfriend "", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Love Tease"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Chain"", ""duration"": """", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Unstoppable "", ""duration"": """", ""type"": ""track""}, {""position"": ""6"", ""title"": ""그래도 돼요 (If You Want)"", ""duration"": """", ""type"": ""track""}]"
i-dle,We Are,34256986,3877882,2025,South Korea,2025-05-20,CD (Mini-Album),Cube Entertainment,L200003270,8804775 455278,Pop,Alt-Pop; K-pop,https://www.discogs.com/release/34256986,"[{""position"": ""1"", ""title"": ""Good Thing"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Girlfriend"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Love Tease"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Chain"", ""duration"": """", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Unstoppable"", ""duration"": """", ""type"": ""track""}, {""position"": ""6"", ""title"": ""그래도 돼요"", ""duration"": """", ""type"": ""track""}]"
i-dle,We Are,34256935,3877882,2025,South Korea,2025-05-20,CD (Mini-Album),Cube Entertainment,L200003270,8804775 455278,Pop,Alt-Pop; K-pop,https://www.discogs.com/release/34256935,"[{""position"": ""1"", ""title"": ""Good Thing"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Girlfriend"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Love Tease"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Chain"", ""duration"": """", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Unstoppable"", ""duration"": """", ""type"": ""track""}, {""position"": ""6"", ""title"": ""그래도 돼요"", ""duration"": """", ""type"": ""track""}]"
i-dle,We Are,34070884,3877882,2025,South Korea,2025-05-00,CD (Mini-Album),Cube Entertainment,L200003271,8804775 455285,Pop,K-pop,https://www.discogs.com/release/34070884,"[{""position"": ""1"", ""title"": ""Good Thing"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Girlfriend"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Love Tease"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Chain"", ""duration"": """", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Unstoppable"", ""duration"": """", ""type"": ""track""}, {""position"": ""6"", ""title"": ""그래도 돼요"", ""duration"": """", ""type"": ""track""}]"
i-dle,We Are,34136827,3877882,2025,South Korea,2025-05-20,CD (Mini-Album),Cube Entertainment,L200003270,8804775 455278,Pop,Alt-Pop; K-pop,https://www.discogs.com/release/34136827,"[{""position"": ""1"", ""title"": ""Good Thing"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Girlfriend"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Love Tease"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Chain"", ""duration"": """", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Unstoppable"", ""duration"": """", ""type"": ""track""}, {""position"": ""6"", ""title"": ""그래도 돼요"", ""duration"": """", ""type"": ""track""}]"
i-dle,We Are,35525620,3877882,2025,South Korea,2025-05-19,CD (Mini-Album),Cube Entertainment; Cube Entertainment; BMG; BMG,964164622; 4099964164626; 964164622; 4099964164626,4099964164626,Electronic; Pop,K-pop; Alt-Pop; Dance-pop; Ballad,https://www.discogs.com/release/35525620,"[{""position"": ""1"", ""title"": ""Good Thing"", ""duration"": """", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Girlfriend"", ""duration"": """", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Love Tease"", ""duration"": """", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Chain"", ""duration"": """", ""type"": ""track""}, {""position"": ""5"", ""title"": ""Unstoppable"", ""duration"": """", ""type"": ""track""}, {""position"": ""6"", ""title"": ""그래도 돼요 (If You Want)"", ""duration"": """", ""type"": ""track""}]"
μ's,Snow Halation,33234903,3762141,2024,Japan,2024-03-27,"CD (Single, Limited Edition, Reissue)",Lantis,LACM-34561,4 540774 345618,Pop; Stage & Screen,J-pop; Anison,https://www.discogs.com/release/33234903,"[{""position"": ""1"", ""title"": ""Snow Halation"", ""duration"": ""4:17"", ""type"": ""track""}, {""position"": ""2"", ""title"": ""Baby Maybe 恋のボタン"", ""duration"": ""4:32"", ""type"": ""track""}, {""position"": ""3"", ""title"": ""Snow Halation (Off Vocal)"", ""duration"": ""4:19"", ""type"": ""track""}, {""position"": ""4"", ""title"": ""Baby Maybe 恋のボタン (Off Vocal)"", ""duration"": ""4:33"", ""type"": ""track""}]"
